stratum,item,source,provenance,detail,label,notes
pos_mapping,fraternal [Concept],ConceptNet,cn POS c -> Concept,concept_id=34505; file=cn_pos_mappings.json,,
pos_mapping,Northern Hemisphere [Concept],ConceptNet,cn POS c -> Concept,concept_id=34581; file=cn_pos_mappings.json,,
pos_mapping,sooty [Concept],ConceptNet,cn POS c -> Concept,concept_id=34495; file=cn_pos_mappings.json,,
pos_mapping,solid food [Concept],ConceptNet,cn POS c -> Concept,concept_id=34551; file=cn_pos_mappings.json,,
pos_mapping,salad [Concept],ConceptNet,cn POS c -> Concept,concept_id=34545; file=cn_pos_mappings.json,,
pos_mapping,fury [Concept],ConceptNet,cn POS c -> Concept,concept_id=34521; file=cn_pos_mappings.json,,
pos_mapping,body and [Concept],ConceptNet,cn POS c -> Concept,concept_id=34519; file=cn_pos_mappings.json,,
pos_mapping,alto [Concept],ConceptNet,cn POS c -> Concept,concept_id=34501; file=cn_pos_mappings.json,,
edge_mapping,bride's maids -[AtLocation]-> a friend's wedding,ConceptNet,cn relation 'AtLocation' -> honk:atLocation,relation_id=23224; file=cn_edge_mappings.json,,
edge_mapping,a bridge -[AtLocation]-> the dentist,ConceptNet,cn relation 'AtLocation' -> honk:atLocation,relation_id=23247; file=cn_edge_mappings.json,,
edge_mapping,a brick row house -[AtLocation]-> a city,ConceptNet,cn relation 'AtLocation' -> honk:atLocation,relation_id=23210; file=cn_edge_mappings.json,,
edge_mapping,a brick row house -[AtLocation]-> England,ConceptNet,cn relation 'AtLocation' -> honk:atLocation,relation_id=23214; file=cn_edge_mappings.json,,
edge_mapping,a brick row house -[AtLocation]-> a neighborhood,ConceptNet,cn relation 'AtLocation' -> honk:atLocation,relation_id=23216; file=cn_edge_mappings.json,,
edge_mapping,a bride and groom -[AtLocation]-> a friend's wedding,ConceptNet,cn relation 'AtLocation' -> honk:atLocation,relation_id=23233; file=cn_edge_mappings.json,,
edge_mapping,a bride and groom -[AtLocation]-> a wedding,ConceptNet,cn relation 'AtLocation' -> honk:atLocation,relation_id=23237; file=cn_edge_mappings.json,,
edge_mapping,bricks -[AtLocation]-> the roof,ConceptNet,cn relation 'AtLocation' -> honk:atLocation,relation_id=23221; file=cn_edge_mappings.json,,
url_cluster,merged (2): american water spaniel [ConceptNet]; American water spaniel [WordNet],"ConceptNet, WordNet",shared URL: http://wordnet-rdf.princeton.edu/wn31/102105458-n,members=2,,
url_cluster,merged (2): guide dog [ConceptNet]; guide dog [WordNet],"ConceptNet, WordNet",shared URL: http://wordnet-rdf.princeton.edu/wn31/102111802-n,members=2,,
url_cluster,merged (2): unearned run [ConceptNet]; unearned run [WordNet],"ConceptNet, WordNet",shared URL: http://wordnet-rdf.princeton.edu/wn31/100190889-n,members=2,,
url_cluster,merged (2): hyaenidae [ConceptNet]; family Hyaenidae [WordNet],"ConceptNet, WordNet",shared URL: http://wordnet-rdf.princeton.edu/wn31/102119611-n,members=2,,
url_cluster,merged (3): red breasted nuthatch [ConceptNet]; red-breasted nuthatch [WordNet]; Sitta canadensis [WordNet],"ConceptNet, WordNet",shared URL: http://wordnet-rdf.princeton.edu/wn31/101593764-n,members=3,,
url_cluster,merged (2): mirror carp [ConceptNet]; mirror carp [WordNet],"ConceptNet, WordNet",shared URL: http://wordnet-rdf.princeton.edu/wn31/101442883-n,members=2,,
url_cluster,merged (2): disappointment [ConceptNet]; dashing hopes [WordNet],"ConceptNet, WordNet",shared URL: http://wordnet-rdf.princeton.edu/wn31/100069575-n,members=2,,
enriched_cluster,Afghan -[eq]-> Afghanistani,WordNet,cluster-level relation (members of the start cluster inherit it via URL-based merging),c1003787 -> c1003788 (eq),,
enriched_cluster,Samoyed -[hyponym]-> Yenisei-Samoyed,WordNet,cluster-level relation (members of the start cluster inherit it via URL-based merging),c1003633 -> c1013894 (hyponym),,
enriched_cluster,holdover -[hypernym]-> survival,WordNet,cluster-level relation (members of the start cluster inherit it via URL-based merging),c1000535 -> c985471 (hypernym),,
enriched_cluster,distributor -[part_holonym]-> condenser,WordNet,cluster-level relation (members of the start cluster inherit it via URL-based merging),c1001612 -> c1026323 (part_holonym),,
enriched_cluster,Indonesian -[hypernym]-> Malay,WordNet,cluster-level relation (members of the start cluster inherit it via URL-based merging),c1003577 -> c1003591 (hypernym),,
enriched_cluster,Evenki -[eq]-> Ewenki,WordNet,cluster-level relation (members of the start cluster inherit it via URL-based merging),c1004083 -> c1004084 (eq),,
enriched_cluster,Illinois -[part_holonym]-> Decatur,WordNet,cluster-level relation (members of the start cluster inherit it via URL-based merging),c1004002 -> c996015 (part_holonym),,
