source_iri	canonical_iri	kind	class	swap	neg
http://honk.org/src#cn.Antonym	http://honk.org/canon#neqTo	edge	nonidentity		
http://honk.org/src#cn.AtLocation	http://honk.org/canon#atLocation	edge	identity		
http://honk.org/src#cn.CapableOf	http://honk.org/canon#capableOf	edge	identity		
http://honk.org/src#cn.Causes	http://honk.org/canon#causes	edge	identity		
http://honk.org/src#cn.CausesDesire	http://honk.org/canon#causesDesire	edge	identity		
http://honk.org/src#cn.CreatedBy	http://honk.org/canon#createdBy	edge	identity		
http://honk.org/src#cn.DefinedAs	http://honk.org/canon#definedAs	edge	identity		
http://honk.org/src#cn.DerivedFrom	http://honk.org/canon#derivedFrom	edge	identity		
http://honk.org/src#cn.Desires	http://honk.org/canon#desires	edge	identity		
http://honk.org/src#cn.DistinctFrom	http://honk.org/canon#neqTo	edge	nonidentity		
http://honk.org/src#cn.Entails	http://honk.org/canon#entails	edge	identity		
http://honk.org/src#cn.EtymologicallyDerivedFrom	http://honk.org/canon#etymology	edge	nonidentity		
http://honk.org/src#cn.EtymologicallyRelatedTo	http://honk.org/canon#relatedTo	edge	nonidentity		
http://honk.org/src#cn.FormOf	http://honk.org/canon#formOf	edge	identity		
http://honk.org/src#cn.HasA	http://honk.org/canon#hasA	edge	identity		
http://honk.org/src#cn.HasContext	http://honk.org/canon#hasContext	edge	identity		
http://honk.org/src#cn.HasFirstSubevent	http://honk.org/canon#hasFirstSubevent	edge	identity		
http://honk.org/src#cn.HasLastSubevent	http://honk.org/canon#hasLastSubevent	edge	identity		
http://honk.org/src#cn.HasPrerequisite	http://honk.org/canon#hasPrerequisite	edge	identity		
http://honk.org/src#cn.HasProperty	http://honk.org/canon#hasProperty	edge	identity		
http://honk.org/src#cn.HasSubevent	http://honk.org/canon#hasSubevent	edge	identity		
http://honk.org/src#cn.InstanceOf	http://honk.org/canon#isA	edge	nonidentity		
http://honk.org/src#cn.IsA	http://honk.org/canon#isA	edge	identity		
http://honk.org/src#cn.LocatedNear	http://honk.org/canon#locatedNear	edge	identity		
http://honk.org/src#cn.MadeOf	http://honk.org/canon#madeOf	edge	identity		
http://honk.org/src#cn.MannerOf	http://honk.org/canon#mannerOf	edge	identity		
http://honk.org/src#cn.MotivatedByGoal	http://honk.org/canon#motivatedByGoal	edge	identity		
http://honk.org/src#cn.NotCapableOf	http://honk.org/canon#capableOf	edge	nonidentity		neg
